WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                4060 Mem[         89]:           0 (00000000000000000000000000000000)
                4060 Mem[         90]:           0 (00000000000000000000000000000000)
                4060 Mem[         91]:           0 (00000000000000000000000000000000)
                4060 Mem[         92]:           0 (00000000000000000000000000000000)
                4060 Mem[         93]:           0 (00000000000000000000000000000000)
                4060 Mem[         94]:         416 (00000000000000000000000110100000)
                4060 Mem[         95]:           0 (00000000000000000000000000000000)
                4060 Mem[         96]:           0 (00000000000000000000000000000000)
                4060 Mem[         97]:           0 (00000000000000000000000000000000)
                4060 Mem[         98]:           0 (00000000000000000000000000000000)
                4060 Mem[         99]:           0 (00000000000000000000000000000000)
                4060 Mem[        100]:           0 (00000000000000000000000000000000)
                4060 Mem[        101]:           0 (00000000000000000000000000000000)
                4060 Mem[        102]:         448 (00000000000000000000000111000000)
                4060 Mem[        103]:           0 (00000000000000000000000000000000)
                4060 Mem[        104]:         168 (00000000000000000000000010101000)
                4060 Mem[        105]:           0 (00000000000000000000000000000000)
                4060 Mem[        106]:           0 (00000000000000000000000000000000)
                4060 Mem[        107]:           0 (00000000000000000000000000000000)
                4060 Mem[        108]:           0 (00000000000000000000000000000000)
                4060 Mem[        109]:           0 (00000000000000000000000000000000)
                4060 Mem[        110]:         480 (00000000000000000000000111100000)
                4060 Mem[        111]:           0 (00000000000000000000000000000000)
                4060 Mem[        112]:           0 (00000000000000000000000000000000)
                4060 Mem[        113]:           0 (00000000000000000000000000000000)
                4060 Mem[        114]:           0 (00000000000000000000000000000000)
                4060 Mem[        115]:           0 (00000000000000000000000000000000)
                4060 Mem[        116]:           0 (00000000000000000000000000000000)
                4060 Mem[        117]:           0 (00000000000000000000000000000000)
                4060 Mem[        118]:         512 (00000000000000000000001000000000)
                4060 Mem[        119]:           0 (00000000000000000000000000000000)
                4060 Mem[        120]:         168 (00000000000000000000000010101000)
                4060 Mem[        121]:           0 (00000000000000000000000000000000)
                4060 Mem[        122]:           0 (00000000000000000000000000000000)
                4060 Mem[        123]:           0 (00000000000000000000000000000000)
                4060 Mem[        124]:           0 (00000000000000000000000000000000)
                4060 Mem[        125]:           0 (00000000000000000000000000000000)
                4060 Mem[        126]:           0 (00000000000000000000000000000000)
                4060 Mem[        127]:           0 (00000000000000000000000000000000)
